# RAE 2822 TRUNCATED at x/c = 0.90 -- a BLUNT base instead of a sharp TE.
# Diagnostic geometry: isolates whether the aft C_p breakdown is caused by
# the sub-cell-thin sharp trailing edge.  Same nose and forebody.
0.8865050 0.0211530
0.8704760 0.0238170
0.8535530 0.0265540
0.8357790 0.0293470
0.8171970 0.0321760
0.7978500 0.0350170
0.7777850 0.0378470
0.7570510 0.0406410
0.7356980 0.0433770
0.7137780 0.0460290
0.6913420 0.0485750
0.6684450 0.0509930
0.6451420 0.0532580
0.6214900 0.0553440
0.5975450 0.0572180
0.5733650 0.0588450
0.5490090 0.0601940
0.5245340 0.0612540
0.5000000 0.0620290
0.4754660 0.0625300
0.4509910 0.0627740
0.4266350 0.0627790
0.4024550 0.0625620
0.3785100 0.0621330
0.3548580 0.0614970
0.3315550 0.0606600
0.3086580 0.0596290
0.2862220 0.0584140
0.2643020 0.0570260
0.2429490 0.0554700
0.2222150 0.0537530
0.2021500 0.0518850
0.1828030 0.0498740
0.1642210 0.0477290
0.1464470 0.0454570
0.1295240 0.0430710
0.1134950 0.0405850
0.0983960 0.0380110
0.0842650 0.0353600
0.0711360 0.0326440
0.0590390 0.0298740
0.0480050 0.0270620
0.0380600 0.0242190
0.0292280 0.0213480
0.0215300 0.0184410
0.0149840 0.0154890
0.0096070 0.0124800
0.0054120 0.0094160
0.0024080 0.0063060
0.0006020 0.0031650
0.0000000 0.0000000
0.0006020 -0.0031600
0.0024080 -0.0063080
0.0054120 -0.0094430
0.0096070 -0.0125590
0.0149840 -0.0156490
0.0215300 -0.0187070
0.0292280 -0.0217220
0.0380600 -0.0246850
0.0480050 -0.0275860
0.0590390 -0.0304160
0.0711360 -0.0331700
0.0842650 -0.0358430
0.0983960 -0.0384310
0.1134950 -0.0409290
0.1295240 -0.0433260
0.1464470 -0.0456100
0.1642210 -0.0477730
0.1828030 -0.0498050
0.2021500 -0.0516940
0.2222150 -0.0534270
0.2429490 -0.0549940
0.2643020 -0.0563760
0.2862220 -0.0575470
0.3086580 -0.0584590
0.3315550 -0.0590460
0.3548580 -0.0592360
0.3785100 -0.0589740
0.4024550 -0.0582240
0.4266350 -0.0569790
0.4509910 -0.0552570
0.4754660 -0.0530990
0.5000000 -0.0505630
0.5245340 -0.0477190
0.5490090 -0.0446420
0.5733650 -0.0413970
0.5975450 -0.0380430
0.6214900 -0.0346310
0.6451420 -0.0312070
0.6684450 -0.0278140
0.6913420 -0.0244950
0.7137780 -0.0212890
0.7356980 -0.0182320
0.7570510 -0.0153570
0.7777850 -0.0126900
0.7978500 -0.0102440
0.8171970 -0.0080270
0.8357790 -0.0060480
0.8535530 -0.0043140
0.8704760 -0.0028290
0.8865050 -0.0015920
